,time,treatment,alga,tank,dna
A-1,before,before,none,NA,54.6
A-2,before,before,none,NA,104
A-3,before,before,none,NA,34
A-4,before,before,none,NA,25
A-5,before,before,none,NA,48.6
A-6,before,before,none,NA,86.4
F-12-1,after,fucus,F.serratus,12,30.8
F-12-2,after,fucus,F.serratus,12,96.8
F-12-3,after,fucus,F.serratus,12,98.6
F-2-1,after,fucus,F.serratus,2,90.4
F-2-2,after,fucus,F.serratus,2,64.8
F-2-3,after,fucus,F.serratus,2,78.2
F-4-1,after,fucus,F.serratus,4,12.7
F-4-2,after,fucus,F.serratus,4,83.6
F-4-3,after,fucus,F.serratus,4,97.2
K-3-1,after,control,Control,3,87
K-3-2,after,control,Control,3,34.4
K-3-3,after,control,Control,3,1
K-6-1,after,control,Control,6,25.6
K-6-2,after,control,Control,6,33
K-6-3,after,control,Control,6,9.3
P-10-1,after,palmaria,P.palmata,10,1.7
P-10-2,after,palmaria,P.palmata,10,26
P-10-3,after,palmaria,P.palmata,10,16.8
P-5-1,after,palmaria,P.palmata,5,2.74
P-5-2,after,palmaria,P.palmata,5,82.6
P-5-3,after,palmaria,P.palmata,5,62.8
P-7-1,after,palmaria,P.palmata,7,3.5
P-7-2,after,palmaria,P.palmata,7,46
P-7-3,after,palmaria,P.palmata,7,49.6
S-1-1,after,saccharina,S.latissima,1,32.8
S-1-2,after,saccharina,S.latissima,1,52.4
S-1-3,after,saccharina,S.latissima,1,32
S-11-1,after,saccharina,S.latissima,11,26.2
S-11-2,after,saccharina,S.latissima,11,77.8
S-11-3,after,saccharina,S.latissima,1,14.7
S-9-1,after,saccharina,S.latissima,9,16.9
S-9-2,after,saccharina,S.latissima,9,13.7
S-9-3,after,saccharina,S.latissima,9,84
neg-ctrl,NA,neg,NA,NA,NA
